id,detail_url,title,location,timeline_hours,area_m2,bedrooms,bathrooms,floors,frontage,price_million_vnd
168306,https://batdongsan.vn/cho-thue-nha-mat-pho-le-trong-tan-phuong-la-khe-70m2-mat-tien-8m-dep-nhat-pho-r168306,"Cho thuê nhà mặt phố Lê Trọng Tấn Phường La khê, 70m2, mặt tiền 8m, đẹp nhất phố.","Hà Đông, Hà Nội",3600,70.0,3.0,3.0,,True,20.0
168605,https://batdongsan.vn/cho-thue-can-ho-full-noi-that-thon-dia-xa-binh-minh-r168605,"🏠 CHO THUÊ CĂN HỘ FULL NỘI THẤT - THÔN ĐÌA, XÃ BÌNH MINH","Thanh Oai, Hà Nội",3600,41.0,4.0,3.0,,False,6.0
168987,https://batdongsan.vn/co-hoi-so-huu-nha-dep-giua-trung-tam-hon-gai-ha-long-gia-chi-33-ty-r168987,"CƠ HỘI SỞ HỮU NHÀ ĐẸP GIỮA TRUNG TÂM HÒN GAI –  HẠ LONG GIÁ CHỈ 3,3 TỶ","Hạ Long, Quảng Ninh",3600,73.0,2.0,2.0,,False,3300.0
168541,https://batdongsan.vn/ban-nha-2-mat-tien-250m2-hoang-dieu-2-phuong-linh-chieu-tp-thu-duc-gia-chi-150-trieum2-r168541,"BÁN NHÀ 2 MẶT TIỀN – 250m² – Hoàng Diệu 2, Phường Linh Chiểu, TP. Thủ Đức – GIÁ CHỈ 150 TRIỆU/m²","Thủ Đức, Hồ Chí Minh",3600,250.0,3.0,,7.0,True,36000.0
168952,https://batdongsan.vn/cho-thue-villa-nguyen-can-le-hong-phongp-xuan-huong-da-lat-r168952,"CHO THUÊ VILLA NGUYÊN CĂN LÊ HỒNG PHONG,P. XUÂN HƯƠNG - ĐÀ LẠT","Đà Lạt, Lâm Đồng",3600,150.0,3.0,4.0,,False,25.0
170306,https://batdongsan.vn/cho-thue-toa-nha-mp-ngo-xuan-quanggia-lam-ha-noi-110m2x6t-thang-may-tang-ham-pccc-vi-tri-r170306,"Cho thuê T.òa Nh.à M.P Ngô Xuân Quảng.Gia Lâm, Hà Nội, 110m2x6T,  thang máy, tầng hầm, PCCC vị trí","Gia Lâm, Hà Nội",3600,110.0,6.0,11.0,6.0,False,11.0
170017,https://batdongsan.vn/nha-toi-cho-thue-nha-moi-lo-gocvia-he-114m2-4t-pho-hoang-cau-44-tr-r170017,"Nhà tôi cho thuê nhà mới, lô góc,vỉa hè, 114m2- 4T, Phố Hoàng Cầu_44 Tr","Đống Đa, Hà Nội",3600,114.0,,,4.0,False,44.0
169887,https://batdongsan.vn/mat-bang-cao-cap-view-song-khong-gian-mo-vcn-phuoc-hai-r169887,Mặt bằng cao cấp – View sông – Không gian mở – VCN Phước Hải,"Nha Trang, Khánh Hòa",3600,160.0,2.0,2.0,3.0,False,40.0
169864,https://batdongsan.vn/chinh-chu-cho-thue-nha-mat-tien-hem-xe-tai-thanh-pho-ho-chi-minh-r169864,CHÍNH CHỦ CHO THUÊ NHÀ MẶT TIỀN HẺM XE TẢI - THÀNH PHỐ HỒ CHÍ MINH,"Quận 7, Hồ Chí Minh",3600,24.0,1.0,1.0,,True,6.5
169962,https://batdongsan.vn/cho-thue-nha-moi-lo-goc-thang-may-112m2-4t-via-he-giang-vo-44-tr-r169962,"Cho thuê nhà mới, lô góc, thang máy, 112m2_ 4T; vỉa hè, Giảng Võ-44 Tr","Ba Đình, Hà Nội",3600,112.0,,,4.0,False,44.0
